file,strain_microstrain,peak_index,wavelength_nm,signal_value_db
SM_10.0.0.10_CWL_20240922_154048.txt,0.0,1,1547.201000,-13.854000
SM_10.0.0.10_CWL_20240922_154048.txt,0.0,2,1554.411000,-13.410000
SM_10.0.0.10_CWL_20240922_154048.txt,0.0,3,1564.155000,-14.069000
SM_10.0.0.10_CWL_20240922_154108.txt,263.1578947368421,1,1547.412000,-13.833000
SM_10.0.0.10_CWL_20240922_154108.txt,263.1578947368421,2,1554.628000,-13.422000
SM_10.0.0.10_CWL_20240922_154108.txt,263.1578947368421,3,1564.370000,-14.080000
SM_10.0.0.10_CWL_20240922_154143.txt,526.3157894736842,1,1547.670000,-13.879000
SM_10.0.0.10_CWL_20240922_154143.txt,526.3157894736842,2,1554.883000,-13.382000
SM_10.0.0.10_CWL_20240922_154143.txt,526.3157894736842,3,1564.630000,-14.090000
SM_10.0.0.10_CWL_20240922_154158.txt,789.4736842105262,1,1547.924000,-13.913000
SM_10.0.0.10_CWL_20240922_154158.txt,789.4736842105262,2,1555.139000,-13.341000
SM_10.0.0.10_CWL_20240922_154158.txt,789.4736842105262,3,1564.886000,-14.116000
SM_10.0.0.10_CWL_20240922_154218.txt,1052.6315789473683,1,1548.191000,-13.889000
SM_10.0.0.10_CWL_20240922_154218.txt,1052.6315789473683,2,1555.415000,-13.351000
SM_10.0.0.10_CWL_20240922_154218.txt,1052.6315789473683,3,1565.159000,-14.097000
SM_10.0.0.10_CWL_20240922_154233.txt,1315.7894736842104,1,1548.463000,-13.856000
SM_10.0.0.10_CWL_20240922_154233.txt,1315.7894736842104,2,1555.683000,-13.392000
SM_10.0.0.10_CWL_20240922_154233.txt,1315.7894736842104,3,1565.431000,-14.061000
SM_10.0.0.10_CWL_20240922_154258.txt,1578.9473684210525,1,1548.738000,-13.837000
SM_10.0.0.10_CWL_20240922_154258.txt,1578.9473684210525,2,1555.961000,-13.398000
SM_10.0.0.10_CWL_20240922_154258.txt,1578.9473684210525,3,1565.708000,-14.046000
SM_10.0.0.10_CWL_20240922_154308.txt,1842.1052631578946,1,1549.023000,-13.866000
SM_10.0.0.10_CWL_20240922_154308.txt,1842.1052631578946,2,1556.244000,-13.400000
SM_10.0.0.10_CWL_20240922_154308.txt,1842.1052631578946,3,1565.998000,-14.045000
SM_10.0.0.10_CWL_20240922_154318.txt,2105.2631578947367,1,1549.309000,-13.864000
SM_10.0.0.10_CWL_20240922_154318.txt,2105.2631578947367,2,1556.540000,-13.414000
SM_10.0.0.10_CWL_20240922_154318.txt,2105.2631578947367,3,1566.292000,-14.082000
SM_10.0.0.10_CWL_20240922_154328.txt,2368.4210526315787,1,1549.603000,-13.877000
SM_10.0.0.10_CWL_20240922_154328.txt,2368.4210526315787,2,1556.827000,-13.372000
SM_10.0.0.10_CWL_20240922_154328.txt,2368.4210526315787,3,1566.582000,-14.079000
