file,strain_microstrain,peak_index,wavelength_nm,signal_value_db
SM_10.0.0.10_OSA_20240922_154048.txt,0.0,1,1547.200000,-13.856000
SM_10.0.0.10_OSA_20240922_154048.txt,0.0,2,1554.410000,-13.411000
SM_10.0.0.10_OSA_20240922_154048.txt,0.0,3,1564.155000,-14.070000
SM_10.0.0.10_OSA_20240922_154108.txt,263.1578947368421,1,1547.405000,-13.836000
SM_10.0.0.10_OSA_20240922_154108.txt,263.1578947368421,2,1554.630000,-13.422000
SM_10.0.0.10_OSA_20240922_154108.txt,263.1578947368421,3,1564.370000,-14.083000
SM_10.0.0.10_OSA_20240922_154143.txt,526.3157894736842,1,1547.665000,-13.880000
SM_10.0.0.10_OSA_20240922_154143.txt,526.3157894736842,2,1554.890000,-13.385000
SM_10.0.0.10_OSA_20240922_154143.txt,526.3157894736842,3,1564.630000,-14.093000
SM_10.0.0.10_OSA_20240922_154158.txt,789.4736842105262,1,1547.920000,-13.915000
SM_10.0.0.10_OSA_20240922_154158.txt,789.4736842105262,2,1555.145000,-13.341000
SM_10.0.0.10_OSA_20240922_154158.txt,789.4736842105262,3,1564.885000,-14.118000
SM_10.0.0.10_OSA_20240922_154218.txt,1052.6315789473683,1,1548.195000,-13.890000
SM_10.0.0.10_OSA_20240922_154218.txt,1052.6315789473683,2,1555.415000,-13.353000
SM_10.0.0.10_OSA_20240922_154218.txt,1052.6315789473683,3,1565.160000,-14.097000
SM_10.0.0.10_OSA_20240922_154233.txt,1315.7894736842104,1,1548.460000,-13.856000
SM_10.0.0.10_OSA_20240922_154233.txt,1315.7894736842104,2,1555.680000,-13.392000
SM_10.0.0.10_OSA_20240922_154233.txt,1315.7894736842104,3,1565.435000,-14.061000
SM_10.0.0.10_OSA_20240922_154258.txt,1578.9473684210525,1,1548.735000,-13.837000
SM_10.0.0.10_OSA_20240922_154258.txt,1578.9473684210525,2,1555.960000,-13.398000
SM_10.0.0.10_OSA_20240922_154258.txt,1578.9473684210525,3,1565.705000,-14.047000
SM_10.0.0.10_OSA_20240922_154308.txt,1842.1052631578946,1,1549.020000,-13.868000
SM_10.0.0.10_OSA_20240922_154308.txt,1842.1052631578946,2,1556.245000,-13.402000
SM_10.0.0.10_OSA_20240922_154308.txt,1842.1052631578946,3,1566.000000,-14.045000
SM_10.0.0.10_OSA_20240922_154318.txt,2105.2631578947367,1,1549.320000,-13.866000
SM_10.0.0.10_OSA_20240922_154318.txt,2105.2631578947367,2,1556.540000,-13.415000
SM_10.0.0.10_OSA_20240922_154318.txt,2105.2631578947367,3,1566.290000,-14.082000
SM_10.0.0.10_OSA_20240922_154328.txt,2368.4210526315787,1,1549.605000,-13.881000
SM_10.0.0.10_OSA_20240922_154328.txt,2368.4210526315787,2,1556.835000,-13.374000
SM_10.0.0.10_OSA_20240922_154328.txt,2368.4210526315787,3,1566.585000,-14.080000
